Property type,Subtype,Price,Age,Living area,Bedrooms,Bathrooms,Terrace Area,EPC score,Land surface,Taxes,Population Density,Facades,Building state,Region,Latitude,Longitude,Income
1,2,289000.0,66.0,140.0,3,1.0,12.0,3.0,269,295066500.3,972,2.0,1.0,2,51.1933908,4.1780279,1300778697.0
1,2,379000.0,99.0,267.0,2,1.0,45.0,1.0,130,295066500.3,972,2.0,2.0,2,51.1933908,4.1780279,1300778697.0
1,2,199000.0,105.0,180.0,5,1.0,56.0,5.0,165,160155011.6,1823,2.0,1.0,3,50.6168289,5.5049541,869075770.5
1,2,445000.0,55.0,156.0,3,1.0,15.0,5.0,2513,32085906.64,154,4.0,0.0,2,50.8247164,3.5366137,127463552.0
1,2,1225000.0,95.0,280.0,5,2.0,48.0,3.0,234,449947939.5,5949,2.0,2.0,1,50.8368511,4.3895104,2131778502.0
1,2,1225000.0,95.0,280.0,5,2.0,48.0,3.0,234,221943581.2,4760,2.0,2.0,1,50.8292429,4.4432967,789281846.9
1,2,279000.0,57.0,150.0,3,1.0,5.0,3.0,167,86554259.46,363,2.0,1.0,2,51.2564526,4.0898144,360848723.6
0,1,220000.0,59.0,60.0,1,1.0,7.0,2.0,0,130084207.8,3416,2.0,1.0,2,51.1741789,4.4593335,510455304.8
0,1,369000.0,9.0,134.0,3,1.0,8.0,2.0,0,372481433.6,1157,2.0,1.0,2,50.9429755,4.0396424203486,1573573009.0
0,1,467500.0,26.0,170.0,3,2.0,5.0,2.0,0,118377159.6,431,2.0,1.0,2,50.8921566,5.4734935,553204911.6
0,1,260000.0,0.0,73.0,1,1.0,16.0,1.0,0,74578255.13,223,2.0,1.0,2,50.9200896,3.5404462768494,301852996.7
0,1,285000.0,51.0,81.0,3,2.0,15.0,1.0,0,45190282.65,2917,2.0,2.0,2,51.1928907,4.488953,193994065.1
0,1,299500.0,0.0,86.0,2,1.0,18.0,1.0,0,74578255.13,223,2.0,1.0,2,50.9200896,3.5404462768494,301852996.7
0,1,299000.0,7.0,78.0,2,1.0,12.0,1.0,0,201482761.9,355,3.0,1.0,2,51.0747776,3.5345703,818604377.2
