Locality	PopulationDensity	Taxes	Income	Longitude	Latitude
1601	898	139253384.2	591483761	4.29861047	50.7848617
1602	898	139253384.2	591483761	4.236041072	50.805593
1620	2381	19370790.13	85985874.87	4.3173542	50.786532
1630	1116	28257186.9	100326820.4	4.3345641	50.7716092
1640	822	116328488.9	418751237.9	4.3463687	50.74503
1650	872	135984565.4	509616162.1	4.305132149	50.7684432
1651	872	135984565.4	509616162.1	4.272998622	50.76514035
1652	872	135984565.4	509616162.1	4.328170341	50.7449476
1653	872	135984565.4	509616162.1	4.295015283	50.73423975
1654	872	135984565.4	509616162.1	4.273254597	50.74931535
1670	128	24713737.62	93190256.04	4.1367803	50.7398062
1671	128	24713737.62	93190256.04	4.174198072	50.7793527
1673	128	24713737.62	93190256.04	4.185344936	50.7354888
1674	128	24713737.62	93190256.04	4.160145028	50.73779765
1700	1082	229345422.6	868256340	4.265729967	50.84408625
1701	1082	229345422.6	868256340	4.2501187	50.8395994
1702	1082	229345422.6	868256340	4.263566837	50.8714357
1703	1082	229345422.6	868256340	4.195149073	50.8363077
1730	712	154481497.2	617374698.4	4.180437507	50.913594
1731	712	154481497.2	617374698.4	4.279026593	50.9019808
1733	712	154481497.2	617374698.4	4.279026593	50.9019808
1740	671	83265439.23	321790664.1	4.18341714	50.87155835
1741	671	83265439.23	321790664.1	4.164637248	50.85672975
1742	671	83265439.23	321790664.1	4.1535568	50.8726659
1745	746	73311605.95	284279747.9	4.1717632	50.9428791
1750	304	53415682.55	196724444	4.1888025	50.7998923
1755	237	48594299.91	189838417.9	4.102984067	50.7979738
1760	546	59823752.48	232696583.1	4.1119573	50.8220387
1761	546	59823752.48	232696583.1	4.136914865	50.84817805
1770	1377	55728956.08	237775382.6	4.0860754	50.8711313
1780	2072	87006543.16	325660433.2	4.3108723	50.9145955
1785	489	86791458.34	332936827.5	4.2658869	50.9277713
1790	762	67549819.16	264828237.4	4.1174675	50.9035063
1800	2199	170524391	720908932.4	4.4551981	50.9271744
1804	2199	170524391	720908932.4	4.4551981	50.9271744
1820	536	67120921.08	252428089	4.4758811	50.9170725
1830	1442	52121352.59	236703923.5	4.4353614	50.9124219
1831	1442	52121352.59	236703923.5	4.4365042	50.8945555
1840	531	96796816.8	375786649.1	4.299072942	51.0122466
1850	1031	202839061.1	766960083.3	4.401373263	50.95030565
1851	1031	202839061.1	766960083.3	4.377759928	50.9728229
1852	1031	202839061.1	766960083.3	4.3638682	50.9527061
1853	1031	202839061.1	766960083.3	4.342355502	50.91096285
1860	579	121253408.6	429331725.8	4.3287322	50.9341625
1861	579	121253408.6	429331725.8	4.3085198	50.9510266
1880	631	49885795.08	194113921.9	4.3599725	51.0131904
1910	372	70202214.9	257251736.2	5.1521172	51.1695659
1930	1323	152946289.9	598633861.9	4.508102595	50.88499735
1931	1442	52121352.59	236703923.5	4.508102595	50.88499735
1932	1323	152946289.9	598633861.9	4.435993971	50.8662434
1933	1323	152946289.9	598633861.9	4.515743844	50.85395875
1934	1442	52121352.59	236703923.5	4.515743844	50.85395875
1935	1323	152946289.9	598633861.9	4.515743844	50.85395875
1950	2392	80994702.64	278278022.4	4.4691371	50.8606105
1970	2148	86288567.89	299116555.7	4.4871796	50.8440554
1980	541	141604478.6	513669103.2	4.4556575	50.961429
1981	541	141604478.6	513669103.2	4.504252661	50.9939033
1982	541	141604478.6	513669103.2	4.507563892	50.96953845
2000	2666	1732023153	7913652026	4.3997081	51.2211097
2018	2666	1732023153	7913652026	4.3997081	51.2211097
2020	2666	1732023153	7913652026	4.3997081	51.2211097
2030	2666	1732023153	7913652026	4.3997081	51.2211097
2040	2666	1732023153	7913652026	4.3997081	51.2211097
2050	2666	1732023153	7913652026	4.3997081	51.2211097
2060	2666	1732023153	7913652026	4.3997081	51.2211097
2070	967	84753336.19	367387630.2	4.3416362	51.2028046
2099	2666	1732023153	7913652026	4.3416362	51.2028046
2100	2666	1732023153	7913652026	4.469525409	51.2115284
2110	1342	44903717.45	186109200.6	4.5225318	51.2270761
2140	2666	1732023153	7913652026	4.440389506	51.21029905
2150	2917	45190282.65	193994065.1	4.488953	51.1928907
2160	1029	58023997.85	244688391.3	4.5238022	51.2031044
2170	2666	1732023153	7913652026	4.445340164	51.24994295
2180	2666	1732023153	7913652026	4.432287078	51.2842045
2200	602	119377035.6	519220277.6	4.83464461	51.1855514
2220	513	179914708.7	776529853.5	4.719112072	51.08755725
2221	513	179914708.7	776529853.5	4.7692868	51.0471677
2222	513	179914708.7	776529853.5	4.731894345	51.10403005
2223	513	179914708.7	776529853.5	4.4361161	51.2907379
2230	283	59762892.06	265259489.6	4.901808003	51.0554081
2235	610	42924755.09	188196413.2	4.801293265	51.04605145
2240	335	61859917.42	253342105.3	4.635692468	51.19902125
2242	335	61859917.42	253342105.3	4.70338521	51.2257319
2243	335	61859917.42	253342105.3	4.697544528	51.2011609
2250	554	52097587.34	227303790.9	4.8597257	51.1438611
2260	462	107552943.7	464294289.8	4.9053101	51.1377568
2270	400	35495984.3	160164940.5	4.7543972	51.1392427
2275	286	70154728.71	303286002.8	4.8676797	51.26758
2280	409	52582505.55	217749002.4	4.73188443	51.18870335
