Property type,Locality,Subtype,Construction year,Price,Type sale,Bedrooms,Living area,Equipped kitchen,Furnished,Bathrooms,Open fire,EPC score,Terrace,Terrace Area,Garden,Garden Area,Land surface,Facades,Swimming pool,Building state,URL
APARTMENT,1020,GROUND_FLOOR,2012,329000,New classified,3,107,1,0,1,0,G,1,30,1,85,0,2,0,GOOD,https://www.immoweb.be/en/classified/ground-floor/for-sale/laeken/1020/20362872
APARTMENT,4102,APARTMENT,2017,299000,New classified,2,89,1,0,1,0,B,1,25,1,148,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4102/20365499
HOUSE,2800,HOUSE,1979,539000,New classified,4,153,1,0,1,1,C,1,13,1,490,846,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20365615
APARTMENT,2100,APARTMENT,1966,239000,New classified,1,88,1,0,1,0,D,0,None,1,45,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20365958
APARTMENT,2100,APARTMENT,1967,154000,New classified,2,70,1,0,1,0,B,1,4,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20364098
APARTMENT,2600,APARTMENT,1974,225000,New classified,2,85,1,0,1,0,B,1,5,0,None,0,3,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20365731
HOUSE,2870,HOUSE,1959,369000,New classified,3,202,1,0,2,0,C,1,18,1,21,120,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/puurs/2870/20365383
APARTMENT,2300,APARTMENT,1972,235000,New classified,4,147,1,0,1,0,C,1,None,0,None,0,3,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/20363602
APARTMENT,9100,APARTMENT,1925,379000,New classified,2,267,1,0,1,0,A,1,45,0,None,0,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/apartment/for-sale/sint-niklaas/9100/20363611
APARTMENT,1000,APARTMENT,1904,249000,New classified,2,80,0,0,1,0,E,0,None,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20365987
APARTMENT,5100,APARTMENT,None,199000,New classified,2,70,None,0,1,0,C,1,5,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/jambes/5100/20364814
APARTMENT,8670,APARTMENT,2002,645000,New classified,2,175,None,1,2,0,B,1,None,0,None,0,2,0,None,https://www.immoweb.be/en/classified/apartment/for-sale/sint-idesbald/8670/20365985
APARTMENT,1700,APARTMENT,1975,240000,New classified,2,94,0,0,1,0,D,0,None,0,None,0,3,0,None,https://www.immoweb.be/en/classified/apartment/for-sale/dilbeek/1700/20365986
HOUSE,3582,HOUSE,1930,275000,New classified,3,147,1,0,1,0,F,1,None,0,None,770,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/koersel/3582/20365977
APARTMENT,3550,APARTMENT,2008,265000,New classified,3,134,0,0,1,0,B,1,45,1,55,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/heusden-zolder/3550/20365984
HOUSE,2200,HOUSE,1951,180000,New classified,2,140,1,0,1,0,F,1,None,0,None,290,3,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/herentals/2200/20365971
HOUSE,8501,HOUSE,1950,345000,New classified,3,184,None,0,1,0,D,0,None,0,None,420,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/heule/8501/20365969
HOUSE,8000,HOUSE,None,239000,New classified,3,101,None,0,1,0,F,1,None,0,None,197,4,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20365968
HOUSE,4052,HOUSE,None,350000,New classified,5,283,1,0,2,0,D,1,None,1,286,569,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/chaudfontaine%20beaufays/4052/20365967
HOUSE,2550,HOUSE,1930,276000,New classified,3,210,1,0,1,1,E,0,None,0,None,370,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/kontich/2550/20360063
APARTMENT,3960,APARTMENT,2017,235000,New classified,1,81,0,0,1,0,B,1,20,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/bree/3960/20365964
HOUSE,9040,HOUSE,None,299000,New classified,2,65,None,0,1,0,B,1,None,0,None,73,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/sint-amandsberg/9040/20365961
HOUSE,9000,HOUSE,None,299000,New classified,2,65,None,0,1,0,B,1,None,0,None,73,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/gent%20%289000%29/9000/20365962
HOUSE,9160,HOUSE,None,149000,New classified,3,138,None,0,1,0,F,0,None,0,None,193,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/20365963
HOUSE,1910,HOUSE,1999,649000,New classified,2,213,None,0,1,0,D,0,None,0,None,3796,4,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/kampenhout/1910/20365960
APARTMENT,9940,DUPLEX,2020,399000,New classified,2,107,None,0,2,0,A,1,17,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/duplex/for-sale/sleidinge/9940/20365959
APARTMENT,2100,APARTMENT,1966,239000,New classified,1,88,1,0,1,0,D,0,None,1,45,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20365958
APARTMENT,4840,APARTMENT,None,369000,New classified,2,118,1,0,1,0,None,1,24,0,None,0,4,0,None,https://www.immoweb.be/en/classified/apartment/for-sale/welkenraedt/4840/20365956
APARTMENT,2100,APARTMENT,1957,189000,New classified,2,89,1,0,1,0,F,1,2,0,None,0,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20365957
APARTMENT,2600,APARTMENT,1958,369000,New classified,3,106,None,0,1,0,B,0,None,0,None,0,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20365952
HOUSE,4960,HOUSE,1955,349500,New classified,4,148,1,0,2,0,D,1,None,0,None,0,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/house/for-sale/malmedy/4960/20365955
APARTMENT,4141,DUPLEX,None,199000,New classified,3,120,None,0,2,0,E,1,3,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/duplex/for-sale/louveign%C3%A9/4141/20365933
APARTMENT,1020,APARTMENT,None,169000,New Price,1,55,1,0,None,0,None,0,None,0,None,0,2,0,None,https://www.immoweb.be/en/classified/apartment/for-sale/brussel%20%202/1020/20311654
APARTMENT,4020,DUPLEX,1899,149000,New classified,1,48,1,1,1,0,E,1,5,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/duplex/for-sale/li%C3%A8ge/4020/20365936
HOUSE,2140,HOUSE,1969,495000,New classified,2,381,None,0,1,0,C,1,None,0,None,460,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2140/20365932
APARTMENT,1180,APARTMENT,1952,400000,New classified,3,88,None,0,1,0,D,1,None,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20365930
HOUSE,8554,COUNTRY_COTTAGE,1980,485000,New classified,2,170,1,0,1,0,B,1,None,0,None,852,3,0,GOOD,https://www.immoweb.be/en/classified/country-cottage/for-sale/sint-denijs/8554/20365698
HOUSE,3020,HOUSE,1971,389000,New classified,3,169,1,0,1,0,F,1,20,1,1188,1348,4,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/20358705
HOUSE,9255,HOUSE,2004,625000,New classified,3,168,1,0,1,0,B,1,None,0,None,431,3,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/buggenhout/9255/20365931
HOUSE,9100,HOUSE,1958,289000,New classified,3,140,1,0,1,1,E,1,12,1,127,269,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/20359120
HOUSE,9100,HOUSE,1925,379000,New classified,2,267,1,0,1,0,A,1,45,0,None,130,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/house/for-sale/sint-niklaas/9100/20363610
HOUSE,4101,HOUSE,1919,199000,New classified,5,180,1,0,1,0,F,1,56,1,60,165,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/seraing/4101/20363431
HOUSE,9790,HOUSE,1969,445000,New classified,3,156,0,0,1,0,F,1,None,0,None,2513,4,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/wortegem-petegem/9790/20364899
HOUSE,1040,HOUSE,1929,1225000,New classified,5,280,1,0,2,0,D,1,48,1,105,234,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/20365614
HOUSE,1150,HOUSE,1929,1225000,New classified,5,280,1,0,2,0,D,1,48,1,105,234,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20365679
HOUSE,9170,TOWN_HOUSE,1967,279000,New classified,3,150,1,0,1,0,E,1,5,1,110,167,2,0,GOOD,https://www.immoweb.be/en/classified/town-house/for-sale/sint-gillis-waas/9170/20364859
APARTMENT,2100,APARTMENT,1957,189000,New classified,2,89,1,0,1,0,F,1,2,0,None,0,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20365957
APARTMENT,2640,APARTMENT,1965,220000,New classified,1,60,1,0,1,0,C,1,7,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/20362798
APARTMENT,9300,APARTMENT,2015,369000,New classified,3,134,1,0,1,0,B,1,8,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/aalst-9300/9300/20364431
APARTMENT,3740,APARTMENT,1998,467500,New classified,3,170,1,0,2,0,B,1,5,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/bilzen/3740/20365223
APARTMENT,9770,APARTMENT,2025,260000,New classified,1,73,1,0,1,0,A,1,16,1,22,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/kruisem/9770/20365289
APARTMENT,2150,APARTMENT,1973,285000,New classified,3,81,1,0,2,0,A,1,None,0,None,0,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/apartment/for-sale/borsbeek/2150/20364575
APARTMENT,9770,APARTMENT,2025,299500,New classified,2,86,1,0,1,0,A,1,18,1,8,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/kruisem/9770/20365264
APARTMENT,9850,APARTMENT,2017,299000,New classified,2,78,1,0,1,0,A,1,12,1,23,0,3,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/landegem/9850/20364538
APARTMENT,2850,APARTMENT,2012,290000,New classified,2,87,1,0,1,0,A,1,None,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/boom/2850/20363018
APARTMENT,1180,APARTMENT,1952,400000,New classified,3,88,None,0,1,0,D,1,None,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20365930
APARTMENT,2300,APARTMENT,1963,219000,New classified,2,120,0,0,1,0,C,1,3,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/20361659
APARTMENT,2570,APARTMENT,2013,349000,New classified,2,111,1,0,1,0,B,1,None,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/duffel/2570/20363014
APARTMENT,6700,APARTMENT,2007,269000,New classified,2,88,1,0,1,0,C,1,5,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/20361330
HOUSE,7543,HOUSE,2025,319226,New classified,3,98,None,0,1,0,A,0,None,0,None,448,4,0,None,https://www.immoweb.be/en/classified/house/for-sale/mourcourt/7543/20364739
HOUSE,4020,TOWN_HOUSE,None,180000,New classified,3,196,1,0,2,0,G,1,9,0,None,113,3,0,GOOD,https://www.immoweb.be/en/classified/town-house/for-sale/li%C3%A8ge/4020/20365928
HOUSE,6690,HOUSE,None,195000,New classified,5,207,1,0,2,0,D,1,None,0,None,117,2,0,None,https://www.immoweb.be/en/classified/house/for-sale/vielsalm/6690/20365926
HOUSE,9300,HOUSE,None,215000,New classified,3,100,None,0,1,0,C,0,None,0,None,121,None,0,None,https://www.immoweb.be/en/classified/house/for-sale/aalst%20%289300%29/9300/20365923
APARTMENT,9000,APARTMENT,2025,250000,New classified,1,59,1,0,1,0,None,1,10,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20365919
HOUSE,9690,HOUSE,1970,595000,New classified,3,322,1,0,2,0,D,1,None,0,None,2800,None,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/kluisbergen/9690/20365918
HOUSE,3454,VILLA,2006,699000,None,6,426,None,0,0,0,C,1,None,0,None,1904,4,0,AS_NEW,https://www.immoweb.be/en/classified/villa/for-sale/geetbets/3454/20287831
APARTMENT,3500,APARTMENT,2004,465000,None,2,156,None,0,1,0,B,0,None,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/20268616
APARTMENT,3500,APARTMENT,2017,1250000,None,3,200,None,0,2,0,A,1,30,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3500/20130487
HOUSE,3550,HOUSE,1972,549000,None,3,211,None,0,1,0,F,0,None,1,2352,2563,4,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/heusden-zolder/3550/20056591
HOUSE,9000,HOUSE,2024,549000,New classified,4,192,1,0,0,0,None,1,16,1,75,0,None,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20365910
HOUSE,4050,HOUSE,None,350000,New classified,5,283,1,0,2,0,D,1,None,1,286,569,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/chaudfontaine/4050/20365907
APARTMENT,9000,APARTMENT,2025,325000,New classified,1,81,1,0,1,0,None,1,13,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20365908
HOUSE,3130,HOUSE,None,570000,New classified,3,None,None,0,1,0,A,0,None,1,345,345,3,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/begijnendijk/3130/20365914
HOUSE,9700,HOUSE,2024,460000,New classified,4,157,0,0,1,0,None,1,None,0,None,474,3,0,None,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20365904
HOUSE,3078,HOUSE,1899,377000,New Price,3,199,0,0,1,0,D,0,None,0,None,400,None,0,None,https://www.immoweb.be/en/classified/house/for-sale/everberg/3078/20323223
APARTMENT,9000,APARTMENT,2024,370000,New classified,2,100,1,0,0,0,A,1,10,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20365905
APARTMENT,9200,APARTMENT,1948,235000,New classified,0,None,1,0,0,0,C,0,None,0,None,0,None,0,None,https://www.immoweb.be/en/classified/apartment/for-sale/dendermonde/9200/20365901
HOUSE,3001,HOUSE,1950,499000,New classified,3,139,1,0,1,0,C,1,15,1,40,117,None,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/heverlee/3001/20365899
APARTMENT,9940,APARTMENT,1969,249000,New classified,2,70,1,0,1,0,B,1,None,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/20365900
APARTMENT,9300,APARTMENT,1967,159000,New classified,1,50,1,0,1,0,B,1,None,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20365889
APARTMENT,8300,APARTMENT,1989,595000,New Price,2,65,None,0,1,0,B,0,None,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10288478
HOUSE,7021,VILLA,1963,325000,New classified,6,230,1,0,1,0,G,0,None,1,987,1540,4,0,GOOD,https://www.immoweb.be/en/classified/villa/for-sale/mons/7021/20365888
APARTMENT,2800,APARTMENT,None,185000,New classified,2,65,0,0,1,0,C,0,None,0,None,0,None,0,TO_RENOVATE,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20365887
HOUSE,8301,HOUSE,2024,699000,New classified,3,152,1,0,2,0,None,1,12,1,31,255,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/heist-aan-zee/8301/20365884
APARTMENT,9000,APARTMENT,2023,390000,New classified,2,96,1,0,0,0,A,1,16,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20365885
APARTMENT,8620,APARTMENT,None,275000,New classified,2,135,None,0,1,0,B,1,None,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20365881
HOUSE,9690,HOUSE,None,665000,New classified,4,256,1,0,2,0,C,0,None,0,None,7640,None,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/kluisbergen/9690/20365876
HOUSE,8500,HOUSE,1945,164500,New classified,3,120,1,0,1,0,C,1,20,1,40,94,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20362957
HOUSE,9600,TOWN_HOUSE,None,295000,New classified,3,252,1,0,1,0,D,1,21,1,120,220,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/town-house/for-sale/ronse/9600/20362147
APARTMENT,1150,APARTMENT,1973,325000,New classified,2,100,1,0,1,0,F,1,10,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20358686
APARTMENT,9200,APARTMENT,1989,229000,New classified,2,108,1,0,1,0,A,1,5,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/dendermonde/9200/20365464
APARTMENT,2270,APARTMENT,2014,377000,New classified,3,136,1,0,1,0,B,1,None,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/herenthout/2270/20365413
APARTMENT,9800,APARTMENT,1992,395000,New classified,3,90,0,0,1,0,E,1,45,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20364897
APARTMENT,8370,APARTMENT,2020,750000,New classified,2,200,1,0,0,0,A,1,19,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20365793
APARTMENT,8301,APARTMENT,2020,795000,New classified,2,95,1,0,1,0,A,1,14,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/heist-aan-zee/8301/20364381
APARTMENT,1200,APARTMENT,1970,550000,New classified,3,136,1,0,2,0,E,1,9,0,None,0,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20365451
APARTMENT,2100,APARTMENT,1966,185000,New classified,3,85,1,0,1,0,E,1,2,0,None,0,3,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20357365
APARTMENT,2100,GROUND_FLOOR,1968,285000,New classified,3,125,1,0,1,0,E,1,4,0,None,0,3,0,AS_NEW,https://www.immoweb.be/en/classified/ground-floor/for-sale/deurne/2100/20357485
APARTMENT,1180,APARTMENT,1967,365000,New classified,2,80,1,0,1,0,F,1,9,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20357226
APARTMENT,1050,APARTMENT,1932,695000,New classified,2,150,1,0,1,0,E,1,None,0,None,0,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20358373
APARTMENT,2830,APARTMENT,2014,265000,New classified,3,86,None,0,1,0,B,1,None,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20362995
APARTMENT,2100,APARTMENT,1966,219000,New classified,3,104,1,0,1,0,C,1,None,0,None,0,4,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20362525
APARTMENT,2800,APARTMENT,2010,315000,New classified,1,78,1,0,1,0,C,1,30,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20363019
APARTMENT,2830,APARTMENT,1999,320000,New classified,3,111,1,0,1,0,B,1,None,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20363004
APARTMENT,9000,APARTMENT,2023,365000,New classified,3,101,1,0,3,0,A,1,13,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20365863
HOUSE,9000,HOUSE,2024,549000,New classified,4,192,1,0,0,0,None,1,16,1,75,0,None,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20365866
HOUSE,4420,HOUSE,1918,169000,New classified,2,100,1,0,1,0,B,1,10,1,26,150,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/20365867
APARTMENT,9000,DUPLEX,2018,450000,New classified,3,145,1,0,1,0,A,0,None,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/duplex/for-sale/gent/9000/20365861
HOUSE,9450,HOUSE,None,389000,New classified,4,235,1,0,1,0,B,1,30,1,165,283,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/haaltert/9450/20365859
APARTMENT,8400,APARTMENT,None,399500,New classified,2,91,None,0,1,0,B,1,None,0,None,0,None,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20365855
HOUSE,1030,HOUSE,None,495000,New classified,4,210,0,0,3,0,None,0,None,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/20365846
APARTMENT,1020,DUPLEX,1935,249000,New classified,4,245,None,0,3,0,G,1,14,0,None,0,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/duplex/for-sale/laeken/1020/20365845
HOUSE,9470,HOUSE,None,249000,New classified,3,175,1,0,1,0,D,1,18,1,30,120,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/denderleeuw/9470/20365879
APARTMENT,1020,APARTMENT,None,169000,New classified,1,70,0,0,1,0,None,0,None,0,None,0,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1020/20365843
HOUSE,9000,HOUSE,2024,549000,New classified,4,192,1,0,0,0,None,1,16,1,75,0,None,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20365838
HOUSE,9000,HOUSE,None,365000,New classified,3,114,None,0,0,0,C,1,None,1,70,143,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20365840
HOUSE,1082,EXCEPTIONAL_PROPERTY,1930,465000,New classified,3,235,1,0,3,0,F,0,None,1,120,200,None,0,GOOD,https://www.immoweb.be/en/classified/exceptional-property/for-sale/berchem-sainte-agathe/1082/20365828
HOUSE,9300,HOUSE,None,395000,New classified,4,215,None,0,1,0,B,0,None,0,None,217,None,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/house/for-sale/aalst%20%289300%29/9300/20365827
HOUSE,1330,EXCEPTIONAL_PROPERTY,1994,845000,New classified,3,300,1,0,2,1,C,1,65,0,None,543,3,1,AS_NEW,https://www.immoweb.be/en/classified/exceptional-property/for-sale/rixensart/1330/20365854
HOUSE,1300,EXCEPTIONAL_PROPERTY,1994,845000,New classified,3,300,1,0,2,1,C,1,65,0,None,543,3,1,AS_NEW,https://www.immoweb.be/en/classified/exceptional-property/for-sale/wavre%20limal/1300/20365826
APARTMENT,1400,APARTMENT,1976,275000,New classified,2,108,1,0,1,0,D,1,25,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/20365824
APARTMENT,9000,APARTMENT,2025,265000,New classified,1,59,1,0,0,0,None,1,10,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20365823
APARTMENT,3530,APARTMENT,2017,109000,New classified,2,33,1,1,1,0,None,1,None,0,None,0,2,1,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/houthalen-helchteren/3530/20365822
APARTMENT,3300,APARTMENT,2024,399000,None,3,166,1,0,2,0,A,1,28,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/tienen/3300/11457436
APARTMENT,3300,APARTMENT,2024,365000,None,2,140,1,0,1,0,A,1,30,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/tienen/3300/11457437
HOUSE,3300,HOUSE,None,187000,None,2,105,1,0,1,0,D,1,5,0,None,0,2,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/11472641
HOUSE,3300,HOUSE,1899,215000,None,3,180,1,0,1,0,E,1,None,1,126,228,2,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/20300853
HOUSE,3370,HOUSE,1850,439000,None,4,200,1,0,1,0,D,1,None,1,830,1499,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/boutersem/3370/20032273
HOUSE,3300,HOUSE,1979,329000,None,3,263,1,0,1,0,D,1,None,0,None,644,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/20094927
HOUSE,3300,HOUSE,1961,239000,None,3,151,1,0,2,0,F,1,11,1,88,200,2,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/20222531
HOUSE,3460,HOUSE,1963,429000,None,3,231,1,0,1,0,C,1,None,1,620,986,3,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/bekkevoort/3460/20193295
APARTMENT,8790,APARTMENT,2021,635000,New classified,3,160,1,0,1,0,A,1,50,0,None,0,None,0,GOOD,https://www.immoweb.be/en/classified/apartment/for-sale/waregem/8790/20364738
HOUSE,4460,BUNGALOW,1960,230000,New classified,2,133,1,0,1,0,E,1,40,1,250,406,3,1,JUST_RENOVATED,https://www.immoweb.be/en/classified/bungalow/for-sale/grace-hollogne/4460/20364148
HOUSE,6800,HOUSE,1983,329000,New classified,4,140,1,0,1,0,E,1,30,1,700,981,4,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/libramont-chevigny-saint-pierre/6800/20365218
HOUSE,3001,HOUSE,1950,499000,New classified,3,139,1,0,1,0,C,1,15,1,40,117,None,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/heverlee/3001/20365899
HOUSE,1600,HOUSE,1955,450000,New classified,3,132,1,0,2,0,D,1,10,1,25,195,3,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-leeuw/1600/20363200
HOUSE,1160,HOUSE,1964,625000,New classified,3,160,1,0,1,0,F,1,10,1,150,300,3,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/20362474
HOUSE,9230,EXCEPTIONAL_PROPERTY,1923,849000,New classified,4,327,1,0,1,0,D,1,None,0,None,1576,4,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/exceptional-property/for-sale/wetteren/9230/20364043
APARTMENT,4000,FLAT_STUDIO,1970,99000,New classified,1,66,1,0,1,0,B,0,None,0,None,0,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/flat-studio/for-sale/liege/4000/20358523
APARTMENT,1000,APARTMENT,1932,430000,New classified,2,185,1,0,1,0,D,1,17,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/brussels/1000/20359887
APARTMENT,1150,APARTMENT,1936,455000,New classified,2,110,1,0,1,0,G,0,None,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20364016
