Property type,Locality,Subtype,Construction year,Price,Type sale,Bedrooms,Living area,Equipped kitchen,Furnished,Bathrooms,Open fire,EPC score,Terrace,Terrace Area,Garden,Garden Area,Land surface,Facades,Swimming pool,Building state,URL
APARTMENT,8380,APARTMENT,2004,299000,New classified,3,89,0,0,2,0,B,0,None,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8380/20365204
HOUSE,9420,HOUSE,None,310000,New classified,3,251,1,0,1,0,F,0,None,1,50,322,4,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/20365198
HOUSE,2850,HOUSE,None,275000,New classified,3,132,1,0,1,0,F,1,None,0,None,0,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/boom/2850/20365203
HOUSE,9200,HOUSE,1964,260000,New classified,3,146,0,0,1,0,D,0,None,0,None,51,2,0,None,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/20365192
HOUSE,4000,HOUSE,1934,265000,New classified,4,207,1,0,3,0,C,1,5,1,100,192,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4000/20365187
HOUSE,8420,HOUSE,None,179000,New classified,2,114,None,0,1,0,E,0,None,0,None,0,2,0,TO_RESTORE,https://www.immoweb.be/en/classified/house/for-sale/wenduine/8420/20365188
APARTMENT,1120,DUPLEX,1995,299000,New classified,3,158,1,0,2,0,D,1,46,0,None,0,2,0,GOOD,https://www.immoweb.be/en/classified/duplex/for-sale/neder-over-heembeek/1120/20365182
HOUSE,7500,HOUSE,None,279000,New classified,3,217,None,0,1,0,F,0,None,0,None,252,3,0,None,https://www.immoweb.be/en/classified/house/for-sale/tournai/7500/20364667
APARTMENT,2610,APARTMENT,1960,269000,New classified,2,80,1,0,1,0,B,1,4,0,None,0,3,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20365181
HOUSE,8500,HOUSE,1935,185000,New Price,4,146,None,0,1,0,F,1,None,1,125,200,2,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/20291327
APARTMENT,8400,APARTMENT,None,229000,New Price,3,88,None,0,1,0,None,1,None,0,None,0,2,0,JUST_RENOVATED,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20306126
HOUSE,8900,HOUSE,None,319000,New classified,2,None,1,0,1,0,F,1,None,0,None,981,4,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/dikkebus/8900/20365180
HOUSE,8370,HOUSE,1918,245000,New classified,3,161,1,0,2,0,D,0,None,1,57,121,2,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/20365177
APARTMENT,6800,APARTMENT,None,249000,New classified,2,85,None,0,1,0,A,1,9,0,None,0,None,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/libramont-chevigny/6800/20365176
APARTMENT,8370,APARTMENT,1930,399000,New classified,2,80,1,1,2,0,C,1,4,0,None,0,2,0,AS_NEW,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20365178
HOUSE,4000,HOUSE,1900,209000,New Price,4,140,1,0,1,0,C,1,1,1,60,150,2,0,AS_NEW,https://www.immoweb.be/en/classified/house/for-sale/li%C3%A8ge/4000/20271986
HOUSE,3040,HOUSE,1970,435000,New classified,3,175,0,0,1,0,F,1,None,0,None,1944,4,0,None,https://www.immoweb.be/en/classified/house/for-sale/ottenburg%20%28huldenberg%29/3040/20365169
HOUSE,9200,HOUSE,2000,569000,New classified,3,240,1,0,1,1,B,1,60,1,650,1159,None,0,GOOD,https://www.immoweb.be/en/classified/house/for-sale/baasrode/9200/20365171
HOUSE,9185,HOUSE,1981,465000,New classified,3,285,1,0,1,0,D,0,None,0,None,930,4,0,TO_BE_DONE_UP,https://www.immoweb.be/en/classified/house/for-sale/wachtebeke/9185/20365168
HOUSE,9700,EXCEPTIONAL_PROPERTY,1920,389000,New Price,4,333,1,0,1,0,E,0,None,1,700,980,3,0,TO_RENOVATE,https://www.immoweb.be/en/classified/exceptional-property/for-sale/oudenaarde/9700/20246066
HOUSE,1380,HOUSE,1984,549000,New classified,4,185,1,0,1,1,C,1,38,0,None,1475,4,0,TO_RENOVATE,https://www.immoweb.be/en/classified/house/for-sale/lasne/1380/20365164
APARTMENT,1040,PENTHOUSE,2024,800000,New classified,2,137,1,0,2,0,B,1,56,0,None,0,3,0,AS_NEW,https://www.immoweb.be/en/classified/penthouse/for-sale/etterbeek/1040/20356529
